temperature,date,weather,humidity,wind_speed
39,2023-07-31 09:00:00,few clouds,32,1.66
38,2023-07-31 12:00:00,scattered clouds,34,3.65
34,2023-07-31 15:00:00,broken clouds,44,1.69
30,2023-07-31 18:00:00,overcast clouds,51,3.52
28,2023-07-31 21:00:00,overcast clouds,55,3.42
28,2023-08-01 00:00:00,overcast clouds,59,2.8
30,2023-08-01 03:00:00,overcast clouds,51,3.04
34,2023-08-01 06:00:00,broken clouds,37,1.37
38,2023-08-01 09:00:00,broken clouds,28,1.66
36,2023-08-01 12:00:00,broken clouds,32,2.83
31,2023-08-01 15:00:00,overcast clouds,48,1.7
30,2023-08-01 18:00:00,overcast clouds,52,1.8
29,2023-08-01 21:00:00,overcast clouds,51,2.54
27,2023-08-02 00:00:00,overcast clouds,54,2.4
29,2023-08-02 03:00:00,overcast clouds,51,2.66
33,2023-08-02 06:00:00,overcast clouds,39,3.16
34,2023-08-02 09:00:00,overcast clouds,35,4.03
33,2023-08-02 12:00:00,overcast clouds,39,4.92
30,2023-08-02 15:00:00,overcast clouds,47,4.67
28,2023-08-02 18:00:00,overcast clouds,52,2.7
27,2023-08-02 21:00:00,overcast clouds,52,3.08
25,2023-08-03 00:00:00,overcast clouds,56,1.92
29,2023-08-03 03:00:00,scattered clouds,46,2.86
34,2023-08-03 06:00:00,scattered clouds,31,2.73
38,2023-08-03 09:00:00,broken clouds,24,4.81
35,2023-08-03 12:00:00,broken clouds,32,6.73
30,2023-08-03 15:00:00,overcast clouds,47,3.79
28,2023-08-03 18:00:00,broken clouds,53,3.22
27,2023-08-03 21:00:00,overcast clouds,57,3.09
26,2023-08-04 00:00:00,overcast clouds,60,2.42
30,2023-08-04 03:00:00,scattered clouds,49,2.31
34,2023-08-04 06:00:00,broken clouds,36,1.98
37,2023-08-04 09:00:00,broken clouds,29,3.61
34,2023-08-04 12:00:00,light rain,37,4.09
30,2023-08-04 15:00:00,light rain,48,3.89
29,2023-08-04 18:00:00,overcast clouds,52,2.16
28,2023-08-04 21:00:00,broken clouds,54,1.68
27,2023-08-05 00:00:00,broken clouds,55,1.79
30,2023-08-05 03:00:00,overcast clouds,47,1.97
34,2023-08-05 06:00:00,overcast clouds,36,1.24
